Title,Category,Year,Violence
Commander Keen: Aliens Ate My Baby Sitter!,Platform,1991,False
"Commander Keen: Goodbye, Galaxy!",Platform,1991,False
Commander Keen: Invasion of the Vorticons,Platform,1990,False
Commander Keen: Keen Dreams,Platform,1991,False
Connectris,Puzzle,1996,False
Conquest of the New World,Turn-Based Strategy,1996,False
Constructor,Real-Time Strategy,1997,False
Cool Spot,Platform,1994,False
Corncob 3D,Simulation,1992,False
Corridor 7: Alien Invasion,First-Person Shooter,1994,True
Cosmo Dragon,Shooter,1997,False
Cosmo's Cosmic Adventure,Platform,1992,False
Counter Action,Real-Time Strategy,1997,True
Crazy Drake,Platform,1996,False
Cricket 97,Sport,1997,False
Crusader: No Regret,Shooter,1996,True
Crusader: No Remorse,Shooter,1995,True
Crusher,Puzzle,1991,False
Crusher Castle II,Puzzle,1993,False
Cryptic Passage,First-Person Shooter,1997,True
Crystal Caves,Platform,1991,False
Crystals of Arborea,Role-Playing,1990,False
Cyber Marine,Platform,1999,False
Cyberdogs,Shooter,1994,True
CyberMage: Darklight Awakening,First-Person Shooter,1995,True
Cybersphere,Arcade,1996,False
Cybersphere Plus,Arcade,1998,False
CyClones,First-Person Shooter,1994,True
Cylindrix,First-Person Shooter,1996,False
Cyril Cyberpunk,Platform,1996,True
D/Generation,Adventure,1991,False
Dangerous Dave,Platform,1990,False
Dark Ages,Platform,1991,False
Dark Ages I: The Continents,Role-Playing,1998,False
Dark Hour,First-Person Shooter,1996,True
Dark Legions,Turn-Based Strategy,1994,True
Dark Passages,Arcade,1996,False
Dark Sun: Shattered Lands,Role-Playing,1993,False
Dark Universe,Turn-Based Strategy,1995,False
Dark Woods 2,Adventure,2002,False
Dark Woods 2 Graphical Remake,Adventure,2002,True
Darklands,Role-Playing,1992,False
Darklight Conflict,Simulation,1997,False
Darts,Traditional,1991,False
Dawn Patrol,Simulation,1994,False
Dead of Night,Platform,1997,True
Death Rally,Racing,1996,False
Depth Dwellers,First-Person Shooter,1994,True
Descent,First-Person Shooter,1994,False
Descent II,First-Person Shooter,1995,False
Destruction Derby,Racing,1995,False
Destruction Derby 2,Racing,1996,False
Detroit,Turn-Based Strategy,1993,False
Diamond Peter,Arcade,1993,False
The Dig,Adventure,1995,False
Dig It!,Platform,1996,False
Digger Remastered,Arcade,1999,False
DIMONO,Puzzle,2008,False
Dinosaur Predators,Puzzle,1996,False
Discworld,Adventure,1995,False
Disney's Aladdin,Platform,1994,False
Disney's Beauty and the Beast: Be Our Guest,Puzzle,1992,False
Domination,First-Person Shooter,1998,True
Dominus,Real-Time Strategy,1994,False
Donald Duck's Playground,Educational,1986,False
DOOM,First-Person Shooter,1993,True
DOOM II,First-Person Shooter,1994,True
Dotso,Puzzle,1995,False
Dragonsphere,Adventure,1994,False
Drak,Puzzle,1995,False
Drake Snake and the Secret Crypt,Platform,1993,False
Dreamweb,Adventure,1994,True
Drugwars,Turn-Based Strategy,1984,False
Ducks,Puzzle,1998,False
Duke it out in D.C.,First-Person Shooter,1997,True
Duke Nukem,Platform,1991,False
Duke Nukem 3D,First-Person Shooter,1996,True
Duke Nukem II,Platform,1993,True
Duke!ZONE II,First-Person Shooter,1997,True
"Duke, It's ZeroHour",First-Person Shooter,1997,True
Duke: Nuclear Winter,First-Person Shooter,1997,True
Dune II: The Building of a Dynasty,Real-Time Strategy,1992,True
Dungeon Explorer,Role-Playing,1990,False
Dungeon Hack,Role-Playing,1993,False
Dungeon Keeper,Real-Time Strategy,1997,True
Dungeon Master II: The Legend of Skullkeep,Role-Playing,1995,True
The Dungeons of Grimlor,Arcade,1993,False
The Dungeons of Grimlor II,Arcade,1995,False
Earth 2140,Real-Time Strategy,1997,False
Earthworm Jim,Platform,1995,False
Earthworm Jim 1 & 2: The Whole Can O' Worms,Platform,1996,False
EGA-Roids,Arcade,1986,False
EGATrek,Miscellaneous,1992,False
The Elder Scrolls Adventures: Redguard,Adventure,1998,True
The Elder Scrolls: Arena,Role-Playing,1994,True
The Elder Scrolls: Daggerfall,Role-Playing,1996,True
