Title,Category,Year,Violence
Star Wars: Rebel Assault,Shooter,1993,False
Star Wars: Rebel Assault II: The Hidden Empire,Shooter,1995,True
Star Wars: TIE Fighter,Simulation,1994,False
Star Wars: X-Wing,Simulation,1993,False
Stardust,Shooter,1993,False
Starfire,Shooter,1992,False
Stargunner,Shooter,1996,False
StarMines II: Planet of Mines,Shooter,1993,False
Steel Panthers,Turn-Based Strategy,1995,False
Steel Panthers II: Modern Battles,Turn-Based Strategy,1996,False
Steel Panthers III: Brigade Command 1939-1999,Turn-Based Strategy,1997,False
Stelcon 2469,Turn-Based Strategy,1992,False
Stellar Conquest III,Turn-Based Strategy,1994,False
Stellar Defense II,Shooter,1993,False
StoneBreaker,Arcade,1996,False
Stonekeep,Role-Playing,1995,True
Street Racer,Racing,1997,False
Strife,First-Person Shooter,1996,True
Stunt Island,Simulation,1992,False
SU-25 Stormovik,Simulation,1990,False
Su-27 Flanker,Simulation,1995,False
Sudoku86,Traditional,2015,False
Supaplex,Puzzle,1991,False
Super ACiD Block Attack,Puzzle,2002,False
Super Angelo,Platform,1997,False
Super Ball!,Arcade,1992,False
Super Fighter,Fighting,1993,True
Super Speed: The Christmas Edition,Racing,1995,False
Super Stardust 96,Shooter,1996,False
Super Street Fighter II Turbo,Fighting,1995,True
Super Tetris,Puzzle,1991,False
Super Worms,Racing,2003,False
Superfrog,Platform,1994,False
Supernova,Adventure,1986,False
Surface Tension,First-Person Shooter,1996,False
Sword Quest 1: The Search,Role-Playing,1992,False
Sword Quest 2: Tale of the Talisman,Role-Playing,1993,False
Syndicate,Real-Time Strategy,1993,True
Syndicate Wars,Real-Time Strategy,1996,True
System Shock,First-Person Shooter,1994,True
Tailchaser,Platform,1997,False
Tank Wars,Arcade,1990,False
Teenagent,Adventure,1995,False
Telengard,Role-Playing,1985,False
Tennis Elbow,Sport,1997,False
Teodoro & Georgiana,Arcade,2018,False
Terminal Velocity,First-Person Shooter,1995,True
The Terminator: Future Shock,First-Person Shooter,1995,True
The Terminator: Rampage,First-Person Shooter,1993,True
Terra Nova: Strike Force Centauri,First-Person Shooter,1996,False
TerraFire,Shooter,1997,False
Terroid,Shooter,1996,False
Textris,Puzzle,1992,False
The Beast Within: A Gabriel Knight Mystery,Adventure,1995,False
Theme Hospital,Real-Time Strategy,1997,False
Theme Park,Real-Time Strategy,1994,False
Thor's Hammer,Role-Playing,1995,True
Threat,Shooter,1994,True
Tic-Tac-Toe,Traditional,2014,False
Titans of Steel,Turn-Based Strategy,1998,False
Todd's Adventures,Platform,1993,False
Tomb Raider,Adventure,1996,True
Tomb Raider: Unfinished Business,Adventure,1998,True
Towers: Lord Baniff's Deceit,Role-Playing,1993,False
Traffic Department 2192,Shooter,1994,False
Transport Tycoon,Real-Time Strategy,1994,False
Transport Tycoon Deluxe,Real-Time Strategy,1995,False
Tricky Quiky Games,Platform,1995,False
Triplane Turmoil,Shooter,1996,True
Trivia Whiz,Traditional,1990,False
Troddlers,Puzzle,1993,False
Troll's Tale,Adventure,1984,False
Tronic,Arcade,1996,False
Trugg,Puzzle,1995,False
Tube,Racing,1995,False
Tubes,Puzzle,1993,False
Tubular Worlds,Shooter,1994,False
The TunnelMan,Platform,1994,False
Turbo,Racing,1987,False
Turrican II: The Final Fight,Platform,1995,False
Twin Dragon,First-Person Shooter,1998,True
TwinBlok,Arcade,1996,False
Twinsen's Odyssey,Adventure,1997,False
Tyger Spirit,Shooter,1996,False
Tyrian,Shooter,1995,False
Tyrian 2000,Shooter,1999,False
Ultima Underworld: The Stygian Abyss,Role-Playing,1992,True
Ultimate Body Blows,Fighting,1994,True
Ultizurk III: The GuildMaster's Quest,Role-Playing,1995,True
Ultra Violent Worlds,Shooter,1998,False
UnReal World,Role-Playing,1992,True
Vanguard Ace: Vertical Madness,Shooter,1997,False
The Varginha Incident,First-Person Shooter,1998,True
Vegas Pro Video Poker,Traditional,1989,False
Velcro Mind,Miscellaneous,1995,False
Vigilance on Talos V,Platform,1995,False
Vikings: Fields of Conquest,Turn-Based Strategy,1992,False
Vinyl Goddess from Mars,Platform,1995,False
Virtual Karts,Racing,1995,False
Virtual Pool,Sport,1995,False
W!Zone II: Retribution,Real-Time Strategy,1996,True
Wacky Wheels,Racing,1994,False
Wanton Destruction,First-Person Shooter,2005,True
War Diary,Real-Time Strategy,1996,True
War-8}!,Turn-Based Strategy,1993,False
Warcraft II: Tides of Darkness,Real-Time Strategy,1995,True
Warcraft: Orcs & Humans,Real-Time Strategy,1994,True
Wari - The Ancient Game of Africa,Traditional,1994,False
Warlords,Turn-Based Strategy,1990,False
Warlords II Deluxe,Turn-Based Strategy,1995,False
WarWizard,Role-Playing,1994,False
Weenie Golf,Sport,1997,False
WetSpot 2,Arcade,1997,False
Whiplash,Racing,1995,False
William Shatner's TekWar,First-Person Shooter,1995,True
Wing Commander,Simulation,1990,False
Wing Commander III: Heart of the Tiger,Simulation,1994,False
Wing Commander: Privateer,Simulation,1993,False
Wings of Glory,Simulation,1995,False
Winnie the Pooh in the Hundred Acre Wood,Adventure,1985,False
Witchaven,First-Person Shooter,1995,True
Wolfenstein 3D,First-Person Shooter,1992,True
Word Rescue,Educational,1992,False
World Rally Fever: Born on the Road,Racing,1996,False
World Wide Rally,Racing,1997,False
Worms,Turn-Based Strategy,1995,True
X-COM: Apocalypse,Turn-Based Strategy,1997,True
X-COM: Terror From The Deep,Turn-Based Strategy,1995,True
X-COM: UFO Defense,Turn-Based Strategy,1994,True
X-Mas Bubble Pop,Arcade,1997,False
X-Men: Children of the Atom,Fighting,1997,True
X-Men: The Ravages of Apocalypse,First-Person Shooter,1997,True
Xargon,Platform,1993,False
Xatax,Shooter,1994,False
XCar: Experimental Racing,Racing,1997,False
Xenophage: Alien BloodSport,Fighting,1996,True
Xerix,Shooter,1992,False
Xixit,Puzzle,1995,False
Xmas Ducks 2000,Puzzle,2000,False
Xmas Lemmings,Puzzle,1991,False
XQuest,Arcade,1994,False
XS,First-Person Shooter,1996,True
Yendorian Tales Book I,Role-Playing,1994,False
Yendorian Tales Book I CHAPTER 2,Role-Playing,1996,False
Yendorian Tales: The Tyrants of Thaine,Role-Playing,1997,False
Z,Real-Time Strategy,1996,False
Z.A.R.,First-Person Shooter,1998,True
Zeroth Zone,Arcade,1999,False
Zone 66,Shooter,1993,False
Zone Raiders,First-Person Shooter,1995,True
Zonker,Miscellaneous,2001,False
Zool,Platform,1993,False
Zorro,Platform,1995,False
Zyclunt,Platform,1995,True
ZZT,Miscellaneous,1991,False
